song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Como uma onda - Zen-surfismo,Lulu Santos,spotify:track:7sc7GorM5izOTPvOi4UaDR,0.846,0.386,-14.287,0.0566,0.612,0.000163,0.155,0.735,116.614,204173
A Felicidade,"Joyce, Roberta Sá",spotify:track:2KI2QttuOK3cNG89XtMjDi,0.537,0.288,-11.126,0.0308,0.868,0.0,0.128,0.26,95.125,249547
Sambinha Bom,Mallu Magalhães,spotify:track:3oVI4L3rUkawtbRo2GsOZh,0.654,0.406,-11.099,0.054,0.762,0.00824,0.261,0.579,143.976,175107
Samba de Uma Nota So,Lisa Ono,spotify:track:4slzM8IlDEwFnyadBSXm0O,0.623,0.629,-8.543,0.046,0.691,0.00278,0.926,0.557,155.879,209467
Fascinaçao,Elis Regina,spotify:track:6hSsh8A723QAi8eeD3SGxR,0.301,0.17,-15.017,0.0353,0.927,0.00148,0.251,0.191,74.216,180711
Outro Lugar,Tetê Espíndola,spotify:track:1IgSqohMZmhkjPzYlkcpDG,0.67,0.0854,-18.021,0.0345,0.873,2.07e-05,0.0792,0.338,84.005,160970
Pot Pourri: Eu e Meu Amor/ Lamento No Morro,Quarteto Jobim-Morelenbaum,spotify:track:1cQy1XqG7u0sJFzkbJbVUH,0.572,0.461,-9.034,0.0467,0.192,0.00192,0.127,0.911,95.956,247176
Meu Mundo É Hoje (Eu Sou Assim),"Teresa Cristina, Grupo Semente",spotify:track:7umnp2OFFirj13AEMubBwO,0.762,0.439,-11.806,0.0581,0.624,0.0,0.104,0.828,148.381,185187
A Vizinha do Lado,Roberta Sá,spotify:track:5Yctzrqe9SdABUp28rHr0f,0.77,0.495,-8.54,0.0554,0.738,0.0,0.0684,0.864,100.025,199667
O grilheiro vem pedra va,Soledad Bravo,spotify:track:7BpIKndOdRx1T1B6GZ8kIl,0.575,0.375,-8.939,0.107,0.876,0.0,0.111,0.695,85.587,125267
A Formiga,Mariana de Moraes,spotify:track:4owmLlHjRQN1cOfZEYI6CV,0.342,0.375,-10.098,0.0367,0.795,7.43e-06,0.138,0.507,78.483,231733
Sao Salvador,Gal Costa,spotify:track:1prkMV743QhjSkjc6JUsZX,0.673,0.369,-17.876,0.0914,0.184,3.51e-05,0.0559,0.912,85.31,152267
Nobre Vagabundo,Daniela Mercury,spotify:track:22LLjUNRN1fT4U5MlsB6wo,0.783,0.435,-9.099,0.318,0.625,1.52e-06,0.0867,0.74,80.936,233467
Tempestade,Gabriel O Pensador,spotify:track:2qSXL5evitBeew5OnBhUH4,0.735,0.729,-6.388,0.148,0.74,0.000461,0.131,0.87,96.262,252067
Quero Que Vá Tudo Pro Inferno - Versão Remasterizada,Roberto Carlos,spotify:track:3fIy2ZzXyyNPpyz6q5KMKD,0.643,0.814,-5.195,0.0315,0.059,0.0,0.0156,0.788,128.197,219827
Falsa Baiana,João Gilberto,spotify:track:3180AJ0q4wVeHoVjkaG8Sr,0.73,0.27,-19.668,0.0611,0.764,0.669,0.11,0.927,88.198,223333
Meu Samba Torto,"Clara Moreno, Celso Fonseca",spotify:track:3Nr3hD8gZyb5jPwwMteUHi,0.783,0.144,-16.006,0.0386,0.923,0.000154,0.112,0.42,93.124,202053
Samba da Matrafona,"Susana Félix, Zeca Pagodinho, Emicida",spotify:track:12kIfeKTW8bh2ngm11Oruu,0.7,0.608,-8.548,0.0665,0.519,2.68e-05,0.0804,0.948,99.97,212929
